id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
5.60E+17,Home in Ocean Grove · ★4.80 · 5 bedrooms · 5 beds · 3 baths,87865888,Greater Geelong,-38.2537,144.51135,Entire home/apt,979,3,25,10-04-2023,1.18,1,42,5
5.61E+17,Cottage in Wannon · ★4.96 · 2 bedrooms · 4 beds · 1 bath,389834291,Southern Grampians,-37.66734,141.84086,Entire home/apt,135,2,24,15-09-2023,1.08,1,0,11
5.61E+17,Home in Colac East · ★4.91 · 3 bedrooms · 3 beds · 2 baths,422802381,Colac Otway,-38.32769,143.61796,Entire home/apt,340,2,11,24-04-2023,0.72,1,330,8
5.61E+17,Chalet in Apollo Bay · 6 bedrooms · 8 beds · 6 baths,141233532,Colac Otway,-38.74615,143.65975,Entire home/apt,3071,2,0,,0.27,9,89,0
5.62E+17,Bed and breakfast in Colac · ★5.0 · 1 bedroom · 1 bed · 1 private bath,113937346,Colac Otway,-38.37003,143.59084,Private room,152,2,19,04-11-2023,0.85,1,151,9
5.62E+17,Home in Warrnambool · ★4.90 · 2 bedrooms · 2 beds · 1.5 baths,195505375,Warrnambool,-38.38827,142.49793,Entire home/apt,371,1,127,14-12-2023,5.7,1,112,65
5.62E+17,Home in Simpson · ★4.64 · 3 bedrooms · 4 beds · 1 bath,49326520,Corangamite,-38.49549,143.2064,Entire home/apt,211,1,69,20-12-2023,3.15,1,145,39
5.62E+17,Home in Barwon Heads · ★4.89 · 4 bedrooms · 4 beds · 3 baths,36896370,Greater Geelong,-38.26936,144.49692,Entire home/apt,500,2,9,30-09-2023,0.54,1,329,4
5.62E+17,Home in Anglesea · ★4.94 · 4 bedrooms · 7 beds · 2.5 baths,389702569,Surf Coast,-38.41314,144.16701,Entire home/apt,450,3,51,25-12-2023,2.36,1,317,27
5.63E+17,Home in Torquay · ★4.85 · 4 bedrooms · 4 beds · 2.5 baths,436105044,Surf Coast,-38.32814,144.32374,Entire home/apt,805,2,53,02-12-2023,2.38,67,282,26
5.63E+17,Home in Aireys Inlet · ★4.56 · 5 bedrooms · 9 beds · 2.5 baths,173429646,Surf Coast,-38.45434,144.11608,Entire home/apt,1150,2,27,17-12-2023,1.22,43,218,12
5.64E+17,Home in Whittington · ★5.0 · 1 bedroom · 1 bed · 1 bath,34348734,Greater Geelong,-38.17589,144.38777,Entire home/apt,186,2,11,06-10-2023,0.51,1,72,7
5.64E+17,Home in Geelong · ★4.75 · 2 bedrooms · 3 beds · 1 bath,354885434,Greater Geelong,-38.14953,144.36978,Entire home/apt,442,3,57,19-11-2023,2.53,3,263,27
5.64E+17,Home in Highton · ★4.74 · 4 bedrooms · 8 beds · 2 baths,29902659,Greater Geelong,-38.17105,144.30932,Entire home/apt,1212,2,19,27-08-2023,0.87,123,332,7
5.65E+17,Home in Camperdown · ★4.97 · 3 bedrooms · 3 beds · 1 bath,445625880,Corangamite,-38.23491,143.14794,Entire home/apt,249,2,38,09-12-2023,2.35,1,130,29
5.65E+17,Home in Portarlington · ★4.75 · 3 bedrooms · 6 beds · 1 bath,77565716,Greater Geelong,-38.11769,144.64954,Entire home/apt,290,2,16,24-12-2023,0.78,1,19,13
5.66E+17,Home in Saint Leonards · 3 bedrooms · 3 beds · 1 bath,436353910,Greater Geelong,-38.182709,144.709778,Entire home/apt,350,1,1,12-06-2022,0.05,1,65,0
5.66E+17,Home in Warrnambool · ★5.0 · 3 bedrooms · 4 beds · 1 bath,134331424,Warrnambool,-38.39506,142.50728,Entire home/apt,326,2,52,12-11-2023,2.85,1,50,33
5.67E+17,Cabin in Cape Otway · ★4.98 · 1 bedroom · 1 bath,333337779,Colac Otway,-38.832,143.51242,Entire home/apt,448,1,51,18-12-2023,2.29,4,201,30
